1,62.99,79
2,62.99,53
3,62.99,45
4,62.99,50
5,62.99,41
6,62.99,60
7,56.69,47
8,30,54
9,100,59
10,25.99,39
11,10,64
12,8,57
13,70,74
14,89,64
15,55.99,66
16,52.99,41
17,79,82
18,31.99,41
19,7.99,54
20,90,76
21,39.99,55
22,35.99,47
23,52.99,75
24,49.99,35
25,45.99,45
26,26.99,39
27,50.95,48
28,50.95,75
29,44.95,49
30,36.51,40
31,35.96,44
32,60,38
33,19.99,81
34,7.99,74
35,8.99,73
36,159,39
37,58.99,68
38,63.5,57
39,180,70
40,59.98,82
41,44.95,48
42,44.95,57
43,44.95,58
44,35.96,66
45,57.6,75
46,57.56,46
47,57,44
48,33.96,84
49,29.97,60
50,29.97,66
51,29.97,58
52,26.08,36
53,22.55,44
54,22,71
55,21.92,71
56,20.98,41
57,20.03,37
58,20,56
59,18,51
60,17.88,46
61,16.69,77
62,15,58
63,14,80
64,13.5,82
65,29.99,41
66,14.99,74
67,49.99,68
68,24.99,67
69,69,67
70,15.99,69
71,19.99,55
72,79,52
73,24.99,72
74,79.99,74
75,90,36
76,39.98,38
77,21.99,53
78,105,52
79,4.99,72
80,3.99,82
81,101,53
82,59,83
83,23.99,51
84,18.99,55
85,88,54
86,71.76,53
87,58.67,75
88,58.04,61
89,65,69
90,30,86
91,3.99,62
92,1.99,56
93,120,49
94,79.99,51
95,148,55
96,68.99,56
97,89,70
98,44.99,63
99,41.99,69
100,39.99,44
101,57.98,70
102,41.99,50
103,164.63,76
104,90,39
105,14,69
106,7.99,67
107,5.99,48
108,64.95,41
109,63.95,41
110,51.96,36
111,51.96,70
112,51.96,31
113,51.96,44
114,51.96,40
115,51.96,73
116,51.96,55
117,51.96,54
118,51.96,74
119,51.96,38
120,51.96,46
121,51.96,66
122,51.96,58
123,51.96,30
124,51.96,65
125,51.96,69
126,51.96,45
127,51.96,80
128,51.96,55
129,51.96,50
130,51.96,39
131,51.96,71
132,51.96,81
133,132,63
134,37.99,64
135,88,83
136,86,72
137,53,57
138,24.93,71
139,209.99,77
140,178,50
141,62,45
142,39.88,82
143,100,45
144,51.99,64
145,595,54
146,30,66
147,109.99,37
148,54.99,68
149,60,47
150,19.99,58
151,40,59
152,6.99,72
153,195,74
154,67.99,62
155,38.87,42
156,69.99,83
157,55.56,51
158,61.99,50
159,59.8,71
160,45.9,85
161,45.82,75
162,159.99,41
163,99.99,80
164,80,59
165,19.99,76
166,60,78
167,4.99,46
168,36.87,75
169,79,81
170,34.99,59
171,140,62
172,57.99,33
173,205,58
174,132.99,55
175,55.99,38
176,50,36
177,6.99,84
178,4.99,66
179,46.99,81
180,89,55
181,12.99,35
182,19.95,46
183,59.9,79
184,70.99,77
185,35.3,61
186,197,45
187,26.99,46
188,60,57
189,59.95,48
190,29.99,60
191,31.95,62
192,26.13,51
193,328,43
194,53.99,48
195,100,40
196,41.99,45
197,1.99,38
198,54.99,65
199,44.19,67
200,40,53
201,39.09,60
202,37.82,78
203,37.39,60
204,36.54,36
205,36.12,58
206,35.69,73
207,35.27,57
208,34.84,62
209,34.84,84
210,34.84,47
211,34.84,56
212,34.84,43
213,34.84,82
214,34.84,38
215,34.84,39
216,34.84,36
217,34.84,54
218,34.84,64
219,34.42,59
220,33.99,75
221,33.99,49
222,33.99,54
223,33.99,71
224,33.99,78
225,33.57,62
226,33.14,59
227,32.49,79
228,32.29,39
229,32.29,79
230,32.29,68
231,32.29,49
232,31.44,36
233,31.22,34
234,30.99,67
235,30.59,72
236,30.57,69
237,30.17,44
238,29.99,63
239,29.74,57
240,29.59,61
241,28.99,65
242,28.04,75
243,27.62,45
244,26.99,64
245,26.99,62
246,25.99,73
247,24.99,83
248,24.99,72
249,24.54,70
250,21.99,75
251,19.99,77
252,16.99,88
253,15.99,84
254,14.99,46
255,5.87,69
256,62,68
257,100,43
258,25.99,83
259,22.99,62
260,21.99,84
261,33.54,64
262,32.59,71
263,280,51
264,139.99,79
265,50,60
266,39.99,41
267,37.95,67
268,99,51
269,60.99,41
270,18.99,44
271,16.99,66
272,44.59,42
273,1095,57
274,106.54,53
275,62.96,44
276,110,43
277,37.99,52
278,116.99,58
279,103.99,72
280,93.59,50
281,90.39,45
282,90.39,35
283,90.39,42
284,90.39,76
285,86.79,39
286,85,77
287,46.99,51
288,39.59,56
289,29.6,63
290,43.95,39
291,31.02,72
292,38.14,74
293,38.14,80
294,43.95,52
295,41.95,65
296,54.99,85
297,29.99,73
298,30.58,40
299,23.34,56
300,184.26,79
301,109,51
302,3.99,72
303,112.15,72
304,69,38
305,27.99,49
306,55.32,47
307,29.99,49
308,89,82
309,25.99,56
310,50,80
311,4.99,86
312,250,77
313,96.99,62
314,31.99,42
315,28.99,77
316,28.99,54
317,320.58,50
318,246.6,30
319,51.99,85
320,49.99,72
321,48.99,36
322,46.99,46
323,79.5,43
324,44.99,46
325,70,71
326,34.99,62
327,32.99,67
328,27.99,67
329,21.99,44
330,17.99,45
331,16.99,48
332,69,67
333,36.98,85
334,695,79
335,27.33,82
336,70,46
337,14.99,61
338,14.99,78
339,33.8,87
340,12.98,65
341,126.18,50
342,260,33
343,83.99,64
344,44.99,80
345,39.99,46
346,49.95,57
347,24.99,68
